PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
DE-I-21017,"PAMPELONNE, LLC",PAMPELONNE,1521  CONCORD PIKE,WILMINGTON,DE,19803,3644, 
DE-I-21018,BLUE SPIKE USA INC., ,2915  OGLETOWN RD,NEWARK,DE,19713,0,New Castle
DE-I-21019,"FORZA WORLDWIDE, LLC", ,24  CRAGMERE RD,WILMINGTON,DE,19809,2309,NEW CASTLE
DE-I-21020,PAREDES & BRODIE ACQUISITION INC., ,1000  N WEST ST,WILMINGTON,DE,19801,1001, 
DE-I-21021,NAVILLUS WINES LLC, ,28306  LEWES GEORGETOWN HWY,MILTON,DE,19968,0,Sussex
DE-I-21022,ANGLO-CANADIAN BREWING COMPANY,ANGLO CANADIAN BEER COMPANY,3524  SILVERSIDE RD,WILMINGTON,DE,19810,4929,New Castle
DE-I-240,"STANDARD DISTRIBUTING CO., INC.", ,913 S HEALD ST,WILMINGTON,DE,19801,5732,NEW CASTLE
DE-I-243,"NKS DISTRIBUTORS, INC.",CENTURY WINE & SPIRITS,399 NEW CHURCHMANS RD,NEW CASTLE,DE,19720,3111,NEW CASTLE
DE-I-253,"ALLIANCE INDUSTRIES, INC.", ,229 S STATE ST,DOVER,DE,19901,6727,KENT
DE-I-260,"VINTAGE IMPORTS, INC.", ,79 ALBE DR,NEWARK,DE,19702,1346,NEW CASTLE
DE-I-261,HAVILL AND COMPANY, ,305A W 34TH ST,WILMINGTON,DE,19802,2610,NEW CASTLE
DE-I-269,"PREMIER DISTRIBUTING COMPANY, INC.", ,315 ROBINSON LN,WILMINGTON,DE,19805,4690,NEW CASTLE
DE-I-273,"JWA, INC.", ,45 GERMAY DR,WILMINGTON,DE,19804,1126,NEW CASTLE
DE-I-274,VINEXPORT CORP.,"NOBLE HARVEST, LTD.",100 NAAMAN RD S,CLAYMONT,DE,19703,2704,NEW CASTLE
DE-I-276,"DOPS, INC.", ,110 EXECUTIVE DR,NEWARK,DE,19702,3352,NEW CASTLE
